derecho supletorio
centro formativo
enmienda presupuestaria
modificación del presupuesto
modificación presupuestaria
adopción
rescisión
dietas y gastos
gastos de viaje
formación teórica
despido
pagaré
certificado de depósito
institución pública
organismo público
exceder
concurrir
asociación
sociedad
unión
corporación
cooperativa
disposición legal
secretario judicial
actuario
movimiento de consumidores
patrimonio
salvaguardia del patrimonio cultural
válido
salario mínimo interprofesional
smi
derechos de los pasajeros
indicador de rendimiento clave
derechos de los pasajeros de tren
espectáculo público
jurisdicción
sistema jurisdiccional
competencia judicial
renovación urbana
revitalización urbana
extranjero
descendiente
jornada
jornada de trabajo
día laborable
jornada laboral
refundido
análisis de coste-eficacia
eficacia en función de los costes
calidad del producto
elementos personales
despido improcedente
máster
cláusula
jornada de trabajo
jornada laboral
autorización administrativa
comunidad de bienes
copropiedad
propiedad común
propiedad conjunta
compensación económica
comisión mixta
organismo público
entidad de derecho público
migración
derecho de litigar
derecho de recurso
trabajo
empleo
prevención
política pública
política gubernamental
políticas públicas
grupo profesional 
incapacidad contractual
incapacidad laboral
funcionario público
servidor público
cargo público
permiso de maternidad
baja de maternidad
permiso por maternidad
convenio colectivo
acuerdo colectivo
contrato colectivo
derecho indisponible
principio de no discriminación
jornada reducida
administración electrónica
administración digital
reclamable
cómputo anual
discriminación por razones de religión
contingencia común
acoso laboral
acoso moral en el trabajo
hostigamiento laboral
violencia psicológica en el trabajo
mobbing
duración de la conducción
sentencia
sentencia judicial
seguridad social
protección social
seguro social
sistema de previsión social
trabajo dominical
trabajo en días no laborables
acción
publicidad abusiva
publicidad engañosa
publicidad falsa
sistema judicial
horario
negligencia
administración institucional
asamblea de trabajadores
cotización del salario
acuerdo tácito
sistema nacional de empleo
riesgo
peligro
operación mercantil
víctima
perjudicado
parte perjudicada
ámbito territorial
ámbito de aplicación territorial
derecho de los consumidores
legislación en materia de protección de los consumidores
derecho en materia de protección de los consumidores
ley de enjuiciamiento civil
entidad jurídica
entidad legal
ente jurídico
hora extraordinaria
hora extra
defensor judicial
paro
desempleo
acuerdo interprofesional
asalariado
trabajador asalariado
personal adscrito
derecho de la seguridad social
administración central
sede de la administración
ubicación del organismo público
concertación social
costes ambientales
coste ecológico
rescindir
profesión
carrera profesional
indemnización
pluriempleo
actividad complementaria
discriminación por razones de estado civil
lugar de reunión
traslado
cambio de puesto
cambio de lugar de trabajo
contrato
acuerdo
convenio
flexibilidad
permiso retribuido
domicilio legal
exclusión social
marginación social
ausencia del trabajo
ausencia laboral
acción positiva
administración pública
oficinas públicas
gestión pública
profesión jurídica
procurador
medida
unidad de medida
contrato de interinidad
trabajo interino
sancionable
constitucionalidad
movimiento social
responsabilidad
descanso
pausa
recreo
baja
ausencia
demanda
escrito de recurso
parque móvil
parque automovilístico
horario de trabajo
hora de trabajo
contrato de trabajo
contrato laboral
decisión unilateral
acto jurídico
acto legal
acción judicial
acción legal
bienes y servicios
bienes fisicos y servicios intangibles
bienes físicos y servicios intangibles
trabajo a distancia
teletrabajo
salario
sueldo
jornal
nómina
honorarios
estipendio
principio de legalidad
desempleo
subsidio de paro
falta de trabajo
tasa de desempleo
desocupacion
desocupación
cesantia
paro forzoso
cesantía
igualdad salarial
igualdad de salario
técnica de aprendizaje
contrato público
objeto del contrato
gratificación
sobresueldo
propina
igualdad
marco
sistema de alerta de la ue
sistema de alerta rápida de la ue
delegados de personal
representante de personal
representante sindical
red de centros europeos de los consumidores
red para la solución extrajudicial de litigios de consumo
educación del consumidor
información
convenio extraestatutario
incapacidad permanente
comité de empresa
derecho penitenciario
contrato de relevo
comercio integrado
primacía del derecho
trabajo nocturno
aprobación del presupuesto
certificado de origen
salario mínimo interprofesional
salario mínimo garantizado
